"","championId","teamPosition","n","winrate","champion","attacking_factor1","attacking_factor2","defending_factor1","defending_factor2","winner"
"1","Aatrox","TOP",519,0.465454545454545,"Aatrox",24.8548145294189,18.3612289428711,8.72291564941406,9.24068832397461,"Loser"
"2","Rakan","UTILITY",237,0.48015873015873,"Rakan",13.9019346237183,16.1593799591064,7.41589117050171,10.7828636169434,"Loser"
"3","Chogath","TOP",331,0.552272727272727,"Chogath",19.2287273406982,23.2496204376221,9.24673271179199,8.67252063751221,"Winner"
"4","Diana","JUNGLE",969,0.497147514262429,"Diana",24.0616474151611,22.3165512084961,8.78464412689209,9.5524206161499,"Loser"
"5","Pyke","UTILITY",908,0.48390243902439,"Pyke",25.9788646697998,16.1215114593506,9.0023193359375,9.31510639190674,"Loser"
"6","Yone","MIDDLE",727,0.495353159851301,"Yone",22.6021518707275,23.6045112609863,9.34598445892334,9.04432392120361,"Loser"
"7","Vayne","BOTTOM",1271,0.514128187456926,"Vayne",23.2604217529297,21.9657974243164,8.83750534057617,9.36650085449219,"Winner"
"8","Jhin","BOTTOM",2185,0.506094808126411,"Jhin",22.9016418457031,22.2210636138916,8.86548042297363,9.16742038726807,"Winner"
"9","Viego","JUNGLE",864,0.478500551267916,"Viego",26.6203937530518,18.0323886871338,9.65587902069092,8.57736396789551,"Loser"
"10","Ahri","MIDDLE",1369,0.53943661971831,"Ahri",21.0384464263916,21.2105903625488,8.85883140563965,9.09584999084473,"Winner"
"11","Trundle","JUNGLE",502,0.546153846153846,"Trundle",21.0956058502197,23.249683380127,9.75906848907471,8.26723480224609,"Winner"
"12","Mordekaiser","TOP",614,0.52734375,"Mordekaiser",21.5089111328125,22.244176864624,8.61061382293701,9.48502349853516,"Winner"
"13","Shen","TOP",505,0.533678756476684,"Shen",20.8642406463623,16.3659572601318,8.51455307006836,9.32375526428223,"Winner"
"14","Pantheon","UTILITY",162,0.493702770780856,"Pantheon",18.3748989105225,20.8357009887695,10.2117938995361,7.88643836975098,"Loser"
"15","Soraka","UTILITY",804,0.499421965317919,"Soraka",12.9259824752808,15.59654712677,9.93760776519775,8.15464210510254,"Loser"
"16","Ezreal","BOTTOM",1622,0.491363907087552,"Ezreal",21.9412517547607,23.0873279571533,9.22095775604248,8.84297657012939,"Loser"
